Article_ID,DOI,Authors,Year,Continent,Country,City,Bee genus,Bee species,Bee merged,Bee full,Abundance,Bee_ID_per_study,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,fervidus,Bombus fervidus,"Bombus fervidus Fabricius, 1798",3,76,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,albipenne,Lasioglossum albipenne,"Lasioglossum albipenne Robertson, 1890",3,77,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,smilacinae,Lasioglossum smilacinae,"Lasioglossum smilacinae Robertson, 1897",3,78,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,zephyrum,Lasioglossum zephyrum,"Lasioglossum zephyrum Smith, 1853",3,79,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,centuncularis,Megachile centuncularis,"Megachile centuncularis Linnaeus, 1758",3,80,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,A2,Megachile A2,Megachile A2,3,81,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,frigida,Megachile frigida,"Megachile frigida Smith, 1853",3,82,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Agapostemon,texanus,Agapostemon texanus,"Agapostemon texanus Cresson, 1872",2,83,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,cratagei,Andrena cratagei,"Andrena cratagei Robertson, 1893",2,84,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,w-scripta,Andrena w-scripta,"Andrena w-scripta Viereck, 1904",2,85,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,terricola,Bombus terricola,"Bombus terricola Kirby, 1837",2,86,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Bombus,vagans,Bombus vagans,"Bombus vagans Smith, 1854",2,87,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Coelioxys,rufitarsis,Coelioxys rufitarsis,"Coelioxys rufitarsis Smith, 1854",2,88,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,macoupinense,Lasioglossum macoupinense,"Lasioglossum macoupinense Robertson, 1895",2,89,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Melissodes,druriellus,Melissodes druriellus,"Melissodes druriellus Kirby, 1802",2,90,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Osmia,A1,Osmia A1,Osmia A1,2,91,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Sphecodes,dichrous,Sphecodes dichrous,"Sphecodes dichrous Smith, 1853",2,92,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,geranii,Andrena geranii,"Andrena geranii Robertson, 1891",1,93,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,imitatrix,Andrena imitatrix,"Andrena imitatrix Cresson, 1872",1,94,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,nasonii,Andrena nasonii,"Andrena nasonii Robertson, 1895",1,95,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Andrena,robertsonii,Andrena robertsonii,"Andrena robertsonii Dalla Torre, 1896",1,96,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Calliopsis,andreniformis,Calliopsis andreniformis,"Calliopsis andreniformis Smith, 1853",1,97,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Coelioxys,porterae,Coelioxys porterae,"Coelioxys porterae Cockerell, 1900",1,98,,,,,,,,,,,,,,
