buffer,ID,mean.NDVI
Bufer_1000.shp,62,0.200797551
Bufer_1000.shp,63,0.354745147
Bufer_1000.shp,64,0.100011198
Bufer_1000.shp,65,0.142626391
Bufer_1000.shp,66,0.343447593
Bufer_1000.shp,67,0.302477711
Bufer_1000.shp,68,0.47840083
Bufer_1000.shp,69,-0.049728977
Bufer_1000.shp,7,0.459716915
Bufer_1000.shp,70,0.467715231
Bufer_1000.shp,71,0.334916253
Bufer_1000.shp,72,0.325335544
Bufer_1000.shp,73,-0.058677572
Bufer_1000.shp,74,0.243981363
Bufer_1000.shp,75,0.090275547
Bufer_1000.shp,76,0.291378712
Bufer_1000.shp,77,0.360820096
Bufer_1000.shp,78,0.036590304
Bufer_1000.shp,79,-0.026761895
Bufer_1000.shp,8,0.467280726
Bufer_1000.shp,80,0.000892685
Bufer_1000.shp,81,-0.072754807
Bufer_1000.shp,82,0.028824764
Bufer_1000.shp,83,0.306767714
Bufer_1000.shp,84,0.289445204
Bufer_1000.shp,85,0.372669656
Bufer_1000.shp,86,-0.019179795
Bufer_1000.shp,87,-0.067423804
Bufer_1000.shp,88,0.007459681
Bufer_1000.shp,89,0.2891955
Bufer_1000.shp,9,0.232566798
Bufer_1000.shp,90,0.367837097
Bufer_1000.shp,91,0.381609813
Bufer_1000.shp,92,0.295236921
Bufer_1000.shp,93,0.070255677
Bufer_1000.shp,94,0.055934792
Bufer_1000.shp,95,0.052658525
Bufer_1000.shp,96,0.307061579
Bufer_1000.shp,97,0.254250703
Bufer_1000.shp,98,0.305051173
Bufer_1000.shp,99,0.252865665
Buffer_250.shp,1,0.263891193
Buffer_250.shp,10,0.15911155
Buffer_250.shp,100,0.084804731
Buffer_250.shp,101,0.366454875
Buffer_250.shp,102,0.157030066
Buffer_250.shp,103,-0.05214684
Buffer_250.shp,104,-0.05214684
Buffer_250.shp,105,-0.017945775
Buffer_250.shp,106,0.050477728
Buffer_250.shp,107,-0.116539487
Buffer_250.shp,108,-0.075896895
Buffer_250.shp,109,-0.036969651
Buffer_250.shp,11,0.558879745
Buffer_250.shp,110,0.337609316
Buffer_250.shp,111,0.099025734
Buffer_250.shp,112,0.297699407
Buffer_250.shp,113,0.084453104
Buffer_250.shp,114,0.279035984
Buffer_250.shp,115,-0.005643339
Buffer_250.shp,116,-0.141885759
Buffer_250.shp,117,-0.1423352
Buffer_250.shp,118,0.105749035
Buffer_250.shp,119,0.239703469
Buffer_250.shp,12,0.449808361
Buffer_250.shp,120,-0.206830901
Buffer_250.shp,121,-0.008797589
Buffer_250.shp,122,-0.161121903
Buffer_250.shp,123,0.172727785
Buffer_250.shp,124,0.150837533
Buffer_250.shp,125,0.18961244
Buffer_250.shp,126,0.236467163
Buffer_250.shp,127,0.119870453
Buffer_250.shp,128,0.23884535
Buffer_250.shp,129,0.281381161
Buffer_250.shp,13,0.435447492
Buffer_250.shp,130,0.039557748
Buffer_250.shp,131,0.325242976
Buffer_250.shp,132,0.115121465
Buffer_250.shp,133,-0.100398333
Buffer_250.shp,134,0.364097172
Buffer_250.shp,135,0.4014941
Buffer_250.shp,136,0.123748403
Buffer_250.shp,137,0.273839871
Buffer_250.shp,138,0.52396594
Buffer_250.shp,139,0.369856526
Buffer_250.shp,14,0.435053399
Buffer_250.shp,140,0.169183455
Buffer_250.shp,141,0.117774252
Buffer_250.shp,142,0.091786103
Buffer_250.shp,143,0.209828782
Buffer_250.shp,144,-0.031959245
Buffer_250.shp,145,0.265162487
Buffer_250.shp,146,0.070931055
Buffer_250.shp,147,0.306840194
Buffer_250.shp,148,0.314007296
Buffer_250.shp,149,0.268004753
Buffer_250.shp,15,0.579518003
Buffer_250.shp,150,0.289910314
Buffer_250.shp,151,0.554131742
Buffer_250.shp,152,0.542314974
Buffer_250.shp,153,0.507746072
Buffer_250.shp,154,0.388192398
Buffer_250.shp,155,0.220368451
Buffer_250.shp,156,0.28768132
Buffer_250.shp,157,0.372390861
Buffer_250.shp,158,0.220437789
Buffer_250.shp,159,0.383801194
Buffer_250.shp,16,0.348445448
Buffer_250.shp,160,0.53140716
Buffer_250.shp,161,0.46946886
Buffer_250.shp,162,0.461540451
Buffer_250.shp,163,0.397833818
Buffer_250.shp,164,0.533176278
Buffer_250.shp,165,0.404862195
Buffer_250.shp,166,0.526039974
Buffer_250.shp,167,0.381289048
Buffer_250.shp,168,0.659457354
Buffer_250.shp,169,0.413816156
Buffer_250.shp,17,0.309206563
Buffer_250.shp,170,0.314051503
Buffer_250.shp,171,0.482670641
Buffer_250.shp,172,0.463363515
Buffer_250.shp,173,0.339967427
Buffer_250.shp,174,0.281047592
Buffer_250.shp,175,0.089074419
Buffer_250.shp,176,0.552572375
Buffer_250.shp,177,0.249197859
Buffer_250.shp,178,0.050950426
Buffer_250.shp,179,0.219863831
Buffer_250.shp,18,0.257104526
Buffer_250.shp,180,0.502033443
Buffer_250.shp,181,0.440229699
Buffer_250.shp,182,0
Buffer_250.shp,183,0
Buffer_250.shp,184,0.629091342
Buffer_250.shp,19,0.241128311
Buffer_250.shp,2,0.53139834
Buffer_250.shp,20,0.43139769
Buffer_250.shp,21,0.390295018
Buffer_250.shp,22,0.201471588
Buffer_250.shp,23,0.490811328
Buffer_250.shp,24,-0.001361845
Buffer_250.shp,25,0.376888396
Buffer_250.shp,26,0.432679311
Buffer_250.shp,27,0.050648324
